userPlantName,cleanedPlantName,sciName,genus,Family,itis_id,rank,notes,isConifer,compoundLeaves,longLeafThreshold
Tuliptree,Tuliptree,Liriodendron tulipifera,Liriodendron,Magnoliaceae,18086,species,,0,NA,NA
Yellow-poplar,Yellow-poplar,Liriodendron tulipifera,Liriodendron,Magnoliaceae,18086,species,,0,NA,NA
Tanoak,Tanoak,Lithocarpus densiflorus,Lithocarpus,Fagaceae,19464,species,,0,NA,NA
Honeysuckle,Honeysuckle,Lonicera,Lonicera,Caprifoliaceae,35281,genus,,0,NA,NA
Lonicera hispidula var. vacillans,Lonicera hispidula var. vacillans,Lonicera hispidula var. vacillans,Lonicera,NA,528895,species,,0,NA,NA
Lonicera japonica,Lonicera japonica,Lonicera japonica,Lonicera,Caprifoliaceae,35283,species,,0,NA,NA
Amur honeysuckle,Amur honeysuckle,Lonicera maackii,Lonicera,Caprifoliaceae,35298,species,,0,NA,NA
Tatarian honeysuckle,Tatarian honeysuckle,Lonicera tatarica,Lonicera,Caprifoliaceae,35306,species,,0,NA,NA
Maackia amurensis,Maackia amurensis,Maackia amurensis,Maackia,Fabaceae,506254,species,,0,NA,NA
Osage orange,Osage orange,Maclura pomifera,Maclura,Moraceae,19102,species,,0,NA,NA
Magnolia,Magnolia,Magnolia,Magnolia,Magnoliaceae,18069,genus,,0,NA,NA
Southern magnolia,Southern magnolia,Magnolia grandiflora,Magnolia,Magnoliaceae,18074,species,,0,NA,NA
Umbrella magnolia,Umbrella magnolia,Magnolia tripetala,Magnolia,Magnoliaceae,18077,species,,0,NA,60
Sweetbay,Sweetbay,Magnolia virginiana,Magnolia,Magnoliaceae,18070,species,,0,NA,NA
Loebner magnolia,Loebner magnolia,Magnolia X loebneri,Magnolia,NA,NA,species,,0,NA,NA
Merrill magnolia,Merrill magnolia,Magnolia X loebneri,Magnolia,NA,NA,species,,0,NA,NA
Cucumber magnolia,Cucumber magnolia,Magnolia acuminata,Magnolia,Magnoliaceae,18071,species,,0,NA,40
Fraser magnolia,Fraser magnolia,Magnolia fraseri,Magnolia,Magnoliaceae,18073,species,,0,NA,60
Mountain or fraser magnolia,Mountain or fraser magnolia,Magnolia fraseri,Magnolia,Magnoliaceae,18073,species,,0,NA,60
Apple,Apple,Malus,Malus,Rosaceae,25254,genus,,0,NA,NA
Malus,Malus,Malus,Malus,Rosaceae,25254,genus,,0,NA,NA
Southern crab apple,Southern crab apple,Malus angustifolia,Malus,Rosaceae,25255,species,,0,NA,NA
Southern crabapple,Southern crabapple,Malus angustifolia,Malus,Rosaceae,25255,species,,0,NA,NA
Sweet crab apple,Sweet crab apple,Malus coronaria,Malus,Rosaceae,25257,species,,0,NA,NA
Oregon crab apple,Oregon crab apple,Malus fusca,Malus,Rosaceae,25258,species,,0,NA,NA
Prairie crab apple,Prairie crab apple,Malus ioensis,Malus,Rosaceae,25259,species,,0,NA,NA
Malus siberica,Malus siberica,Malus baccata,Malus,Rosaceae,25256,species,,0,NA,NA
Malus sargentii,Malus sargentii,Malus sargentii,Malus,NA,507499,species,,0,NA,NA
Morella caroliniensis,Morella caroliniensis,Morella caroliniensis,Morella,Myricaceae,507898,species,,0,NA,NA
Southern bayberry,Southern bayberry,Morella caroliniensis,Morella,Myricaceae,507898,species,,0,NA,NA
Morella cerifera,Morella cerifera,Morella cerifera,Morella,Myricaceae,507899,species,,0,NA,NA
Wax myrtle,Wax myrtle,Morella cerifera,Morella,Myricaceae,507899,species,,0,NA,NA
Red bay,Red bay,Morella rubra,Morella,Myricaceae,845182,species,,0,NA,NA
Myrica cerifera,Myrica cerifera,Morella cerifera,Morella,Myricaceae,507899,species,,0,NA,NA
Mulberry,Mulberry,Morus,Morus,Moraceae,19064,genus,,0,NA,NA
White mulberry,White mulberry,Morus alba,Morus,Moraceae,19066,species,,0,NA,NA
Black mulberry,Black mulberry,Morus nigra,Morus,Moraceae,19069,species,,0,NA,NA
Red mulberry,Red mulberry,Morus rubra,Morus,Moraceae,19070,species,,0,NA,NA
Clerya,Clerya,Unknown,Unknown,NA,NA,genus,possibly Cleyera?,0,NA,NA
Arrowwood,Arrowwood,Viburnum,Viburnum,Adoxaceae,35249,genus,,0,NA,NA
Arrowwood viburnum,Arrowwood viburnum,Viburnum,Viburnum,Adoxaceae,35249,genus,,0,NA,NA
Nandina domestica,Nandina domestica,Nandina domestica,Nandina,Berberidaceae,18848,species,,0,NA,NA
Tupelo,Tupelo,Nyssa,Nyssa,Nyssaceae,27820,genus,,0,NA,NA
Water tupelo,Water tupelo,Nyssa aquatica,Nyssa,Nyssaceae,27824,species,,0,NA,NA
Black gum,Black gum,Nyssa sylvatica,Nyssa,Nyssaceae,27821,species,,0,NA,NA
Blackgum,Blackgum,Nyssa sylvatica,Nyssa,Nyssaceae,27821,species,,0,NA,NA
Hophornbeam,Hophornbeam,Ostrya,Ostrya,Betulaceae,19508,genus,,0,NA,NA
Eastern hophornbeam,Eastern hophornbeam,Ostrya virginiana,Ostrya,Betulaceae,19511,species,,0,NA,NA
Sourwood,Sourwood,Oxydendrum arboreum,Oxydendrum,Ericaceae,23690,species,,0,NA,NA
Persian ironwood,Persian ironwood,Parrotia persica,Parrotia,Hamamelidaceae,895220,species,,0,NA,NA
Redbay,Redbay,Persea borbonia,Persea,Lauraceae,18149,species,,0,NA,NA
Common ninebark,Common ninebark,Physocarpus opulifolius,Physocarpus,Rosaceae,25282,species,,0,NA,NA
Blue spruce,Blue spruce,Picea pungens,Picea,Pinaceae,183307,species,,1,NA,NA
Spruce pine,Spruce pine,Pinus glabra,Pinus,Pinaceae,183342,species,,1,NA,NA
Monterey pine,Monterey pine,Pinus radiata,Pinus,Pinaceae,183372,species,,1,NA,NA
Eastern white pine,Eastern white pine,Pinus strobus,Pinus,Pinaceae,183385,species,,1,NA,NA
Virginia pine,Virginia pine,Pinus virginiana,Pinus,Pinaceae,183394,species,,1,NA,NA
Mountain ash,Mountain ash,Piptocarpha tetrantha,Piptocarpha,Asteraceae,38860,species,,0,NA,NA
Sycamore,Sycamore,Platanus,Platanus,Platanaceae,19019,genus,,0,NA,NA
American sycamore,American sycamore,Platanus occidentalis,Platanus,Platanaceae,19020,species,,0,NA,NA
Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpaceae,183488,genus,,0,NA,NA
Balsam poplar,Balsam poplar,Populus balsamifera,Populus,Salicaceae,22453,species,,0,NA,NA
Bigtooth aspen,Bigtooth aspen,Populus grandidentata,Populus,Salicaceae,22463,species,,0,NA,NA
Quaking aspen,Quaking aspen,Populus tremuloides,Populus,Salicaceae,195773,species,,0,NA,NA
Trembling aspen,Trembling aspen,Populus tremuloides,Populus,Salicaceae,195773,species,,0,NA,NA
Cherry,Cherry,Prunus,Prunus,Rosaceae,24762,genus,,0,NA,NA
Cherry and plum,Cherry and plum,Prunus,Prunus,Rosaceae,24762,genus,,0,NA,NA
Chokecherry,Chokecherry,Prunus,Prunus,Rosaceae,24762,genus,,0,NA,NA
Wild cherry,Wild cherry,Prunus,Prunus,Rosaceae,24762,genus,,0,NA,NA
American plum,American plum,Prunus americana,Prunus,Rosaceae,24763,species,,0,NA,NA
Sweet cherry,Sweet cherry,Prunus avium,Prunus,Rosaceae,24770,species,,0,NA,NA
Sour cherry,Sour cherry,Prunus cerasus,Prunus,Rosaceae,24773,species,,0,NA,NA
Cherry laurel,Cherry laurel,Prunus laurocerasus,Prunus,Rosaceae,24786,species,,0,NA,NA
